week,year,Stab,Elite,Loyal,Info,Morale,Protest,Fiscal,CPI,Infl,EStress,Repr,Troops,Displaced,War,Sanctions,OilPrice,OilRevIndex
0,0,0.65538091418334,0.635663207766858,0.687039302838132,0.727717364998619,0.509869443677103,0.18267767575875,0.323912166620626,100.865384615385,0.45,0.867611126457935,0.517125,0.236,0.0615101270568817,1,0.7,1.5,0.261
1,0.0192307692307692,0.701749193050734,0.624518343068832,0.613754809646826,0.750879839870855,0.465779357370873,0.166157793340062,0.195178928062879,101.767607131039,0.465130540005525,0.892064211194309,0.504346736725812,0.26948,0.122944803394403,1,0.7,1.5,0.261
2,0.0384615384615385,0.740398613974435,0.615946945250815,0.530169942064619,0.769433509264667,0.417994343512739,0.150712135308419,0.0635785886736429,102.708132648298,0.480578528632455,0.912844428672177,0.484295738542199,0.3006164,0.184262925027419,1,0.7,1.5,0.261
3,0.0576923076923077,0.774946118372679,0.60943736292979,0.441241818845025,0.785461994677004,0.366759080739616,0.136582210854862,0,103.688542153691,0.496370569359163,0.930281102687172,0.456967254143078,0.329573252,0.245438143990065,1,0.7,1.5,0.261
4,0.0769230769230769,0.807835104306627,0.604681387602329,0.351882378134513,0.800925283111198,0.312786710390054,0.123770700099229,0,104.693523408412,0.504,0.937497058464563,0.425734795053265,0.35650312436,0.306393919383921,1,0.7,1.5,0.261
5,0.0961538461538462,0.839174410469277,0.60145045390213,0.262426009412994,0.815876111115167,0.256629459808123,0.112228156191576,0,105.708245250678,0.504,0.937497058464563,0.393654017544077,0.3815479056548,0.367094261905558,1,0.7,1.5,0.261
6,0.115384615384615,0.868926830507708,0.599498702802391,0.172911088158483,0.83036523736283,0.198361589306349,0.102003816091373,0,106.732802089261,0.504,0.937497058464563,0.360660171069324,0.404839552258964,0.427572893903041,1,0.7,1.5,0.261
7,0.134615384615385,0.897053379805678,0.598611241408321,0.0833695430621505,0.844445390006485,0.138054460922049,0.0931508727220167,0,107.767289247973,0.504,0.937497058464563,0.326577645523735,0.426500783600836,0.487860494268447,1,0.7,1.5,0.261
8,0.153846153846154,0.918937012116329,0.596914127419483,0.0244507102065759,0.849342502090559,0.0947486917892557,0.098211932895792,0,108.625282666216,0.414,0.878467799431603,0.164595369678963,0.42804324050279,0.515530927562677,0.5,0.7,1.25,0.47125
9,0.173076923076923,0.938156911928187,0.595917565100127,0,0.854441344740042,0.0510204599416706,0.104512018384388,0,109.490107032059,0.414,0.878467799431603,0.138557894140999,0.429500862275137,0.542825258265633,0.5,0.7,1.25,0.47125
10,0.192307692307692,0.954874430267049,0.595471124364375,0,0.859796115699367,0.00688413748054967,0.11127164226596,0,110.361816730352,0.414,0.878467799431603,0.128166201711006,0.430878314850004,0.569801411167645,0.5,0.7,1.25,0.47125
11,0.211538461538462,0.969837165906635,0.595450355449129,0,0.865426355440547,0,0.117816688836934,0,111.240466578936,0.414,0.878467799431603,0.128969417354905,0.432180007533254,0.596501892219242,0.5,0.7,1.25,0.47125
