week,year,Stab,Elite,Loyal,Info,Morale,Protest,Fiscal,CPI,Infl,EStress,Repr,Troops,Displaced,War,Sanctions,OilPrice,OilRevIndex
0,0,0.649910175095976,0.633881645200426,0.69190639919973,0.726180441071523,0.510442817512705,0.186027802667578,0.324681369050762,100.876923076923,0.456,0.85594364974591,0.43659,0.2316,0.0755945633454186,0.9,0.9,1.45,0.24679
1,0.0192307692307692,0.69049143302617,0.621003363908744,0.623534714433364,0.747936667278313,0.467127222302624,0.172895792296756,0.196873492978853,101.790709382123,0.471038235713908,0.882112236065057,0.424787033068256,0.2610828,0.151039982358938,0.9,0.9,1.45,0.24679
2,0.0384615384615385,0.723040101054221,0.610736448306456,0.544947359253986,0.765225045990107,0.420328730978767,0.160829674730461,0.0663722861508542,102.742795433735,0.486375180842538,0.904456517565606,0.407083967721736,0.2885902524,0.226271483408425,0.9,0.9,1.45,0.24679
3,0.0576923076923077,0.751094974246416,0.602559970292372,0.460856394566731,0.780016078828578,0.37030333485748,0.150027779170213,0,103.734728371523,0.502035325661897,0.923287428528141,0.383525297239293,0.3142547054892,0.301239237936082,0.9,0.9,1.45,0.24679
4,0.0769230769230769,0.777284233994371,0.596156090614438,0.37639749560945,0.794354197996581,0.317778743745377,0.140477795787173,0,104.752126669013,0.51,0.931502396275674,0.356883364461549,0.338199640221424,0.375818189474348,0.9,0.9,1.45,0.24679
5,0.0961538461538462,0.801749059689652,0.591296059293024,0.291948281935466,0.808290544756881,0.263362364344455,0.132105974788159,0,105.779503295959,0.51,0.931502396275674,0.329909751165374,0.360540264326588,0.449930074235865,0.9,0.9,1.45,0.24679
6,0.115384615384615,0.82446624479807,0.587728273631255,0.207549062004675,0.821873273213977,0.207127317964092,0.12493536902387,0,106.816956116747,0.51,0.931502396275674,0.302560344819881,0.381384066616707,0.523605122679906,0.9,0.9,1.45,0.24679
7,0.134615384615385,0.845413480212721,0.585233280167826,0.12323285613393,0.835151495742398,0.149143436685426,0.118991991290856,0,107.864583955584,0.51,0.931502396275674,0.274678350397446,0.400831334153387,0.596870227327252,0.9,0.9,1.45,0.24679
8,0.153846153846154,0.864569202184753,0.5836194648431,0.0390262219792344,0.848175400237798,0.0894773102539126,0.114304410053192,0,108.922486605918,0.51,0.931502396275674,0.246135026323585,0.41897563476511,0.669749013611213,0.9,0.9,1.45,0.24679
9,0.173076923076923,0.881912450447837,0.582719335057233,0,0.860996351428433,0.0281923291380672,0.110903453006565,0,109.990764839937,0.51,0.931502396275674,0.216826675964846,0.435904267235848,0.742261777851144,0.9,0.9,1.45,0.24679
10,0.192307692307692,0.897974384728385,0.582391884212696,0,0.873666980665667,0,0.108024892761683,0,111.069520418175,0.51,0.931502396275674,0.204572733099396,0.451698681331046,0.814495830490152,0.9,0.9,1.45,0.24679
11,0.211538461538462,0.913235495446787,0.58253240674223,0,0.886208687177364,0,0.104990423045501,0,112.158856099199,0.51,0.931502396275674,0.207583274606162,0.466434869681866,0.886516835494471,0.9,0.9,1.45,0.24679
12,0.230769230769231,0.927747955894667,0.58306176923248,0,0.898615138836981,0,0.101803020655486,0,113.258875649403,0.51,0.931502396275674,0.210563184073342,0.480183733413181,0.958321474324043,0.9,0.9,1.45,0.24679
13,0.25,0.941561508122293,0.583912328572658,0,0.910880126259903,0,0.0984657078237118,0,114.369683852888,0.51,0.931502396275674,0.213510956987667,0.493011423274498,1.02990632971174,0.9,0.9,1.45,0.24679
14,0.269230769230769,0.954723551660819,0.585026389977924,0,0.922997564902967,0,0.0949815476125099,0,115.491386521445,0.51,0.931502396275674,0.216425117999353,0.504979657915107,1.10126789326592,0.9,0.9,1.45,0.24679
15,0.288461538461538,0.967279228749777,0.58635486573843,0,0.934961496979721,0,0.0913536396646914,0,116.624090504636,0.51,0.931502396275674,0.219304221420945,0.516146020834795,1.17240257309897,0.9,0.9,1.45,0.24679
16,0.307692307692308,0.979271506228879,0.58785610883253,0,0.946766093205024,0,0.0875851163102258,0,117.76790369997,0.51,0.931502396275674,0.222146851682382,0.526564237438863,1.2433067014692,0.9,0.9,1.45,0.24679
17,0.326923076923077,0.990741254246096,0.58949489885527,0,0.95840565438262,0,0.0836791390278397,0,118.922935063181,0.51,0.931502396275674,0.224951623745514,0.53628443353046,1.31397654242451,0.9,0.9,1.45,0.24679
18,0.346153846153846,1,0.59124156060373,0,0.969874612849349,0,0.0796388952570468,0,120.089294618609,0.51,0.931502396275674,0.227717183481311,0.545353376483919,1.38440829943705,0.9,0.9,1.45,0.24679
19,0.365384615384615,1,0.593027626800138,0,0.981167533789487,0,0.0754736379106293,0,121.267093469676,0.51,0.931502396275674,0.230442208013005,0.553814700259496,1.45459820450716,0.9,0.9,1.45,0.24679
20,0.384615384615385,1,0.594615556344598,0,0.992279364055298,0,0.0712181438081968,0,122.456443809474,0.51,0.931502396275674,0.233125406028382,0.56170911534211,1.52454288532271,0.9,0.9,1.45,0.24679
21,0.403846153846154,1,0.596031410284906,0,1,0,0.0668842858769934,0,123.657458931452,0.51,0.931502396275674,0.235765576899539,0.569074604614188,1.59423908789892,0.9,0.9,1.45,0.24679
22,0.423076923076923,1,0.59729750418704,0,1,0,0.0625266144922405,0,124.870253240203,0.51,0.931502396275674,0.2376,0.575946606105038,1.66368238120946,0.9,0.9,1.45,0.24679
23,0.442307692307692,1,0.598432758606352,0,1,0,0.0582176689596612,0,126.094942262366,0.51,0.931502396275674,0.2376,0.582358183496,1.73286740053079,0.9,0.9,1.45,0.24679
24,0.461538461538462,1,0.599453656693723,0,1,0,0.053957043529116,0,127.331642657632,0.51,0.931502396275674,0.2376,0.588340185201768,1.80179379972267,0.9,0.9,1.45,0.24679
25,0.480769230769231,1,0.600374559533802,0,1,0,0.0497443323426906,0,128.580472229851,0.51,0.931502396275674,0.2376,0.59392139279325,1.87046126752325,0.9,0.9,1.45,0.24679
26,0.5,1,0.600848718213367,0,1,0,0.0508938613621355,0,129.752532688254,0.474,0.910356860068493,0.1848,0.592692187832861,1.91440459871034,0.7,0.9,1.35,0.31671
27,0.519230769230769,1,0.601257131743617,0,1,0,0.0520242627509215,0,130.935276928528,0.474,0.910356860068493,0.1848,0.591537964375057,1.95800050471569,0.7,0.9,1.35,0.31671
28,0.538461538461538,1,0.60160791049449,0,1,0,0.053135874598119,0,132.128802337453,0.474,0.910356860068493,0.1848,0.590454148548178,2.00125236854756,0.7,0.9,1.35,0.31671
29,0.557692307692308,1,0.601908179881294,0,1,0,0.0542290283851083,0,133.333207189529,0.474,0.910356860068493,0.1848,0.58943644548674,2.04416352032509,0.7,0.9,1.35,0.31671
30,0.576923076923077,1,0.602164199591347,0,1,0,0.0553040491346575,0,134.548590655064,0.474,0.910356860068493,0.1848,0.588480822312048,2.08673723855634,0.7,0.9,1.35,0.31671
31,0.596153846153846,1,0.602381468402134,0,1,0,0.0563612555560223,0,135.775052808343,0.474,0.910356860068493,0.1848,0.587583492151014,2.12897675137837,0.7,0.9,1.35,0.31671
32,0.615384615384615,1,0.602564816329563,0,1,0,0.0574009601861916,0,137.012694635865,0.474,0.910356860068493,0.1848,0.586740899129802,2.17088523776099,0.7,0.9,1.35,0.31671
33,0.634615384615385,1,0.602718485635505,0,1,0,0.0584234695274012,0,138.261618044662,0.474,0.910356860068493,0.1848,0.585949704282884,2.21246582867522,0.7,0.9,1.35,0.31671
34,0.653846153846154,1,0.602846202039496,0,1,0,0.0594290841810295,0,139.521925870684,0.474,0.910356860068493,0.1848,0.585206772321628,2.25372160822754,0.7,0.9,1.35,0.31671
35,0.673076923076923,1,0.602951237317437,0,1,0,0.0604180989779884,0,140.793721887275,0.474,0.910356860068493,0.1848,0.584509159210009,2.29465561476116,0.7,0.9,1.35,0.31671
36,0.692307692307692,1,0.603036464327498,0,1,0,0.0613908031057159,0,142.077110813709,0.474,0.910356860068493,0.1848,0.583854100498198,2.33527084192536,0.7,0.9,1.35,0.31671
37,0.711538461538462,1,0.603104405378012,0,1,0,0.0623474802318763,0,143.372198323818,0.474,0.910356860068493,0.1848,0.583239000367808,2.37557023971389,0.7,0.9,1.35,0.31671
38,0.730769230769231,1,0.60315727474181,0,1,0,0.0632884086248666,0,144.679091054693,0.474,0.910356860068493,0.1848,0.582661421345372,2.41555671547333,0.7,0.9,1.35,0.31671
39,0.75,1,0.603197016024399,0,1,0,0.0642138612712264,0,145.997896615461,0.474,0.910356860068493,0.1848,0.582119074643304,2.45523313488268,0.7,0.9,1.35,0.31671
40,0.769230769230769,1,0.603225335008012,0,1,0,0.0651241059900459,0,147.328723596148,0.474,0.910356860068493,0.1848,0.581609811090063,2.49460232290469,0.7,0.9,1.35,0.31671
41,0.788461538461538,1,0.6032437285185,0,1,0,0.0660194055444608,0,148.67168157662,0.474,0.910356860068493,0.1848,0.581131612613569,2.53366706471018,0.7,0.9,1.35,0.31671
42,0.807692307692308,1,0.60325350979599,0,1,0,0.0669000177503215,0,150.026881135607,0.474,0.910356860068493,0.1848,0.580682584244141,2.57243010657598,0.7,0.9,1.35,0.31671
43,0.826923076923077,1,0.603255830792155,0,1,0,0.0677661955821217,0,151.394433859805,0.474,0.910356860068493,0.1848,0.580260946605249,2.61089415675745,0.7,0.9,1.35,0.31671
44,0.846153846153846,1,0.603251701765906,0,1,0,0.0686181872762669,0,152.774452353065,0.474,0.910356860068493,0.1848,0.579865028862328,2.64906188633627,0.7,0.9,1.35,0.31671
45,0.865384615384615,1,0.603242008504342,0,1,0,0.0694562364317608,0,154.167050245668,0.474,0.910356860068493,0.1848,0.579493262101726,2.68693593004442,0.7,0.9,1.35,0.31671
46,0.884615384615385,1,0.603227527456377,0,1,0,0.0702805821083864,0,155.572342203677,0.474,0.910356860068493,0.1848,0.579144173113521,2.72451888706494,0.7,0.9,1.35,0.31671
47,0.903846153846154,0.999990332712098,0.603208939031648,0,1,0,0.0710914589224546,0,156.99044393838,0.474,0.910356860068493,0.1848,0.578816378553596,2.76181332181032,0.7,0.9,1.35,0.31671
48,0.923076923076923,0.999732413221385,0.603186595433722,0,1,0,0.0718891299466949,0,158.421472215818,0.474,0.910356860068493,0.1848,0.578508579461827,2.79882176574015,0.7,0.9,1.35,0.31671
49,0.942307692307692,0.999241950341726,0.60315478603301,0,1,0,0.0726746630049243,0,159.865544866401,0.474,0.910356860068493,0.1848,0.578219556114655,2.83554674456493,0.7,0.9,1.35,0.31671
50,0.961538461538462,0.998533841005961,0.603108884149047,0,1,0,0.0734490541684149,0,161.322780794606,0.474,0.910356860068493,0.1848,0.577948163191661,2.87199077761374,0.7,0.9,1.35,0.31671
51,0.980769230769231,0.997622209644465,0.603045195324689,0,1,0,0.074213231305539,0,162.793299988772,0.474,0.910356860068493,0.1848,0.57769332523697,2.9081563771775,0.7,0.9,1.35,0.31671
52,1,0.996520445656676,0.602960824986043,0,1,0,0.0749680575326899,0,164.277223530978,0.474,0.910356860068493,0.1848,0.577454032397515,2.94404604783501,0.7,0.9,1.35,0.31671
53,1.01923076923077,0.995241239074877,0.602853563091186,0,1,0,0.0757143345613389,0,165.77467360701,0.474,0.910356860068493,0.1848,0.577229336421267,2.97966228576788,0.7,0.9,1.35,0.31671
54,1.03846153846154,0.993796614513514,0.602721783663191,0,1,0,0.0764528059373089,0,167.285773516428,0.474,0.910356860068493,0.1848,0.577018346899569,3.01500757807008,0.7,0.9,1.35,0.31671
55,1.05769230769231,0.992197963491659,0.60256435735998,0,1,0,0.0771841601694249,0,168.810647682712,0.474,0.910356860068493,0.1848,0.576820227738696,3.05008440205711,0.7,0.9,1.35,0.31671
56,1.07692307692308,0.990456075211043,0.602380575459379,0,1,0,0.0779090337456621,0,170.349421663512,0.474,0.910356860068493,0.1848,0.576634193846635,3.08489522457915,0.7,0.9,1.35,0.31671
57,1.09615384615385,0.988581165867259,0.602170083836187,0,1,0,0.0786280140357545,0,171.902222160983,0.474,0.910356860068493,0.1848,0.57645950802199,3.11944250134226,0.7,0.9,1.35,0.31671
58,1.11538461538462,0.98658290656722,0.601932825682428,0,1,0,0.0793416420799692,0,173.46917703222,0.474,0.910356860068493,0.1848,0.576295478032649,3.15372867624096,0.7,0.9,1.35,0.31671
59,1.13461538461538,0.98447044992179,0.60166899187512,0,1,0,0.0800504152643951,0,175.050415299783,0.474,0.910356860068493,0.1848,0.576141453872658,3.1877561807052,0.7,0.9,1.35,0.31671
60,1.15384615384615,0.982252455378649,0.601378978030417,0,1,0,0.0807547898836505,0,176.646067162323,0.474,0.910356860068493,0.1848,0.575996825186425,3.22152743306435,0.7,0.9,1.35,0.31671
61,1.17307692307692,0.97993711335679,0.601063347401157,0,1,0,0.0814551835923973,0,178.256264005303,0.474,0.910356860068493,0.1848,0.575861018850053,3.25504483793034,0.7,0.9,1.35,0.31671
62,1.19230769230769,0.97753216824073,0.600722798878606,0,1,0,0.0821519777474532,0,179.881138411813,0.474,0.910356860068493,0.1848,0.5757334967002,3.28831078560198,0.7,0.9,1.35,0.31671
63,1.21153846153846,0.975044940289325,0.600358139450319,0,1,0,0.0828455196426387,0,181.52082417349,0.474,0.910356860068493,0.1848,0.575613753401488,3.32132765149172,0.7,0.9,1.35,0.31671
64,1.23076923076923,0.972482346511188,0.599970260546034,0,1,0,0.0835361246387803,0,183.175456301533,0.474,0.910356860068493,0.1848,0.575501314443997,3.35409779557642,0.7,0.9,1.35,0.31671
65,1.25,0.969850920555924,0.599560117773766,0,1,0,0.0842240781915274,0,184.84517103782,0.474,0.910356860068493,0.1848,0.575395734262913,3.38662356187294,0.7,0.9,1.35,0.31671
66,1.26923076923077,0.967156831667861,0.599128713609915,0,1,0,0.0849096377798257,0,186.530105866126,0.474,0.910356860068493,0.1848,0.575296594472876,3.41890727793942,0.7,0.9,1.35,0.31671
67,1.28846153846154,0.964405902746534,0.598677082661314,0,1,0,0.0855930347380384,0,188.230399523444,0.474,0.910356860068493,0.1848,0.57520350221003,3.45095125440275,0.7,0.9,1.35,0.31671
68,1.30769230769231,0.961603627555912,0.598206279164661,0,1,0,0.086274475994817,0,189.946192011408,0.474,0.910356860068493,0.1848,0.575116088575218,3.4827577845126,0.7,0.9,1.35,0.31671
69,1.32692307692308,0.95875518712228,0.597717366430426,0,1,0,0.0869541457219014,0,191.67762460782,0.474,0.910356860068493,0.1848,0.57503400717213,3.51432914372233,0.7,0.9,1.35,0.31671
70,1.34615384615385,0.95586546535864,0.5972114079749,0,1,0,0.0876322068960815,0,193.424839878283,0.474,0.910356860068493,0.1848,0.57495693273463,3.54566758929666,0.7,0.9,1.35,0.31671
71,1.36538461538462,0.952939063951668,0.596689460116162,0,1,0,0.0883088027775742,0,195.187981687943,0.474,0.910356860068493,0.1848,0.574884559837818,3.57677535994614,0.7,0.9,1.35,0.31671
72,1.38461538461538,0.949980316545484,0.596152565837808,0,1,0,0.0889840583080801,0,196.967195213329,0.474,0.910356860068493,0.1848,0.574816601687711,3.60765467548821,0.7,0.9,1.35,0.31671
73,1.40384615384615,0.946993302254818,0.595601749749055,0,1,0,0.0896580814317648,0,198.762626954312,0.474,0.910356860068493,0.1848,0.57475278898476,3.63830773653447,0.7,0.9,1.35,0.31671
74,1.42307692307692,0.943981858538605,0.595038013991389,0,1,0,0.0903309643423835,0,200.574424746165,0.474,0.910356860068493,0.1848,0.57469286885669,3.66873672420384,0.7,0.9,1.35,0.31671
75,1.44230769230769,0.940949593463543,0.594462334960951,0,1,0,0.0910027846597227,0,202.402737771736,0.474,0.910356860068493,0.1848,0.574636603856432,3.69894379986122,0.7,0.9,1.35,0.31671
76,1.46153846153846,0.937899897385754,0.593875660732465,0,1,0,0.0916736065384797,0,204.247716573732,0.474,0.910356860068493,0.1848,0.57458377102119,3.72893110488081,0.7,0.9,1.35,0.31671
77,1.48076923076923,0.934835954077364,0.593278909085093,0,1,0,0.0923434817126335,0,206.109513067116,0.474,0.910356860068493,0.1848,0.574534160988897,3.75870076043396,0.7,0.9,1.35,0.31671
78,1.5,0.931760751323551,0.592672966043362,0,1,0,0.0930124504782935,0,207.988280551612,0.474,0.910356860068493,0.1848,0.574487577168574,3.78825486730042,0.7,0.9,1.35,0.31671
79,1.51923076923077,0.928677091014433,0.592058684857516,0,1,0,0.0936805426179292,0,209.884173724333,0.474,0.910356860068493,0.1848,0.574443834961291,3.81759550570271,0.7,0.9,1.35,0.31671
