parameter,S1,S1_conf,ST,ST_conf
k_mob,0.41628155616130846,0.06264554217912688,0.6160481522580877,0.0544090298366945
k_demob,0.20888398896693264,0.058754628553605616,0.5077905330836564,0.051830105380473765
k_info,0.03325396326875834,0.03489961155587013,0.17809623719258239,0.035605443364438535
k_rev,0.023702876013567676,0.02996945028403036,0.12282677399569718,0.024217645900855844
k_rally_s,0.023664657679436988,0.027185456600016457,0.08877570241692652,0.027159927059221857
k_loss_p,0.005696927077599712,0.020625866388807135,0.05643685923253955,0.01746665026474846
k_info_emerg,0.011697128970582242,0.01781964944434401,0.04192356636777506,0.015785404185578267
k_san_oil,0.021400795310828582,0.017843340414493866,0.03804341864022753,0.014401459422472134
k_loss_l,0.005671092638528621,0.012095386291319989,0.020877395973002318,0.011493288794324992
k_war_spend,-0.0033727506674368275,0.01074537209915905,0.019019094505128595,0.010342213962097085
k_split,0.004503680877972519,0.009633654722895861,0.014254426181232089,0.008335324219575608
k_war_oil,0.005374257281436626,0.009343795713097045,0.013268046655687855,0.009393304472500237
pi_base,-0.004085573443496057,0.009011134817776887,0.012825429791833572,0.007919088610063144
k_pay,4.9092133971772326e-05,0.009443697782616134,0.012140110555264344,0.007681764274899013
k_pi_san,0.005109674121745853,0.007211727204183979,0.007969242943455917,0.006353856257922409
k_cons,-0.0013513383060469455,0.005197672557938118,0.006483790321422924,0.007533754589525485
k_pi_war,-0.00153879092357024,0.005555214093612137,0.005785634720381015,0.0067924756077284865
r0,-0.00033065441277171833,0.0020357091973344558,0.0005587384202414058,0.0009324448502390331
k_elite_cost,-0.0008766508986949998,0.0019661098002160967,0.0005221310104489461,0.0010158224526633103
k_elite_recover,-0.0008761559377309708,0.0018088682847176602,0.00044463740270646654,0.0008677091093408706
k_elite_protest,0.0009186287762492479,0.0016861517291241602,0.00038723032825920017,0.0007576435272465673
