parameter,S1,S1_conf,ST,ST_conf
k_rev,0.4878658759889933,0.04921107004151713,0.7018792059454048,0.04740107047820613
k_pay,0.10652633490174654,0.02937401039686869,0.25023201251144933,0.028107311001506263
k_loss_l,0.07523610846446149,0.023762812611621897,0.1431021138332111,0.01901058597745339
k_san_oil,0.03316390333117601,0.01970963795744152,0.09648546709533543,0.012793927521066539
k_mob,0.019032558320104805,0.01618835767415243,0.06622347001839346,0.010059197000134955
k_demob,0.005554985656088804,0.014310077484671042,0.05319830786535812,0.009740791992780122
k_split,0.00952329258241858,0.013145739495521221,0.04385637175561577,0.008099085404653353
k_war_spend,0.0077368283530545754,0.00885929566907893,0.022706851835133757,0.0045130728301335556
pi_base,0.0023724415270480726,0.00790368309904521,0.015202937426336912,0.003384913093855911
k_war_oil,0.0006341915843374957,0.003545092165279048,0.002975032137989404,0.0006439088090164782
k_pi_san,0.00010109680940525506,0.00243076402991764,0.0017884373413867736,0.0004755254365931816
k_info,0.0003835572853083893,0.0018215619858482112,0.0008876208910506338,0.0004556615313860553
k_loss_p,9.910992756585037e-05,0.0012162724191321704,0.0005646800789202971,0.0004625338812178941
k_elite_cost,-0.00020177358230546105,0.0007911539669096149,0.0002196750745004769,6.074073373113255e-05
k_pi_war,0.00012254523033498467,0.0008836427056441177,0.00014210659671486204,4.251474886732844e-05
k_info_emerg,0.00020897558552040492,0.0006544992616449669,0.00013293969019877107,5.2745420937608836e-05
k_elite_recover,9.690109140189879e-05,0.0005959913100911778,7.872616087373163e-05,2.1984907650254403e-05
k_elite_protest,-1.5935223001218774e-05,0.000547607688217817,7.562648197630272e-05,2.9847179952344232e-05
k_rally_s,-5.6512327283068326e-05,0.00046802543990344023,6.635554592539931e-05,1.7851249954461577e-05
r0,-0.00011466103576982111,0.00021120803484266638,1.4383374236567523e-05,1.1517544151651422e-05
k_cons,5.5971064042082465e-05,0.00017664425846894473,7.0162754502970576e-06,5.084692827741493e-06
