parameter,S1,S1_conf,ST,ST_conf
k_mob,0.2570762616050555,0.06571580558157218,0.5911834926776897,0.058746613200533
k_demob,0.1745441833821568,0.06437889868304038,0.5437306370781426,0.05164794957325501
k_loss_p,0.04659185921030024,0.04232959631294305,0.22935546873114385,0.03880078974002468
k_info,0.06984782837460779,0.04129505493446894,0.22342386178120047,0.03938805712083596
k_rev,0.025528341459952177,0.03942277185538788,0.20167463629807475,0.03735098619295821
k_san_oil,0.012724210289133514,0.030086241715205818,0.11467773436557192,0.028284322944419207
k_elite_protest,-0.00043049819462338156,0.016099180097015508,0.03558964169966025,0.015763753073355015
k_elite_cost,0.00043049819462338156,0.015859538990117873,0.03558964169966025,0.016290133895427963
k_loss_l,-0.0017619532193361006,0.015248928786569693,0.029658034749716875,0.014849164593729388
k_war_spend,0.0004304981946233807,0.01367826170798358,0.0237264277997735,0.013262276440547912
pi_base,-0.0052458992171657256,0.014648542699058308,0.0237264277997735,0.01372218141511633
k_pay,0.002192451413959483,0.013739473480354068,0.02174922548312571,0.012357806991654873
k_info_emerg,0.006146856047255067,0.012765765897212471,0.02174922548312571,0.012472314990977795
k_elite_recover,-0.002622949608582863,0.012402056824004396,0.017794820849830122,0.011641434617734458
k_split,0.004815401022542345,0.009745254191732777,0.01186321389988675,0.009465072055604306
k_war_oil,0.00043049819462338113,0.010276273503782418,0.01186321389988675,0.009301960589499983
k_pi_san,0.0039544046332955825,0.010416374639805999,0.01186321389988675,0.00969465172092492
k_rally_s,0.0021924514139594824,0.00956932547436746,0.009886011583238959,0.008691218608317598
k_cons,0.003954404633295583,0.005665993443420165,0.0039544046332955825,0.005649624288405149
r0,0.004384902827918965,0.006298005767067372,0.0039544046332955825,0.005679684171617809
k_pi_war,0.0021924514139594824,0.00431487374757492,0.0019772023166477913,0.003891250823360565
