parameter,S1,S1_conf,ST,ST_conf
k_mob,0.4183475505270768,0.06499248429150865,0.5906604287130768,0.05805579393942554
k_demob,0.33808735231883186,0.06070641303868259,0.5335353815279312,0.05442069083122178
k_rev,0.029119704839787305,0.032077955971808875,0.11081277969558953,0.022212718939521814
k_san_oil,0.0005903362015637098,0.021218142278747194,0.05694454546540833,0.01727006826114458
k_loss_l,0.000358706359162118,0.010779648215181565,0.015619965996531582,0.007953918564703098
k_info,0.0058956011253668734,0.010120998007846395,0.014031917736851978,0.008056749795760126
k_pay,7.558238017695747e-05,0.00977250219684033,0.011559493051708922,0.005426097657853561
k_loss_p,0.002361851582768192,0.008346742966675206,0.01092524930489578,0.007171846873991965
k_war_spend,-0.0006187093086201645,0.008341867968306183,0.009032321911577736,0.004349274907278431
k_split,-0.0006965444237425863,0.008672534914865391,0.009031736362282886,0.0061064398510058595
pi_base,0.0024224537137884053,0.004333781721832391,0.003461395850559787,0.0024210565926316573
k_war_oil,0.00024264951615475126,0.004289811076243825,0.002738325490026639,0.002639899978707503
k_info_emerg,0.0020343928844293504,0.004496790042089805,0.002578434104507892,0.002181121137437226
r0,-0.00016445258694232421,0.0035822290088052995,0.0024631452767844573,0.0015330425308615777
k_cons,0.0009924078508730776,0.0031459473412418235,0.0016374309501267484,0.0023156332708637027
k_pi_san,0.00178087816731624,0.0022779562785646915,0.0007338859970508334,0.0005868425103944729
k_elite_recover,0.00017410977816594537,0.0017439639727717339,0.0006576065327599413,0.0006348271748309899
k_elite_protest,0.0017029148488651284,0.0022854701888143526,0.0006367801810081162,0.00047099245416862403
k_rally_s,0.001219854290089637,0.0017985378456753262,0.0005366107580768361,0.0005822641732872989
k_elite_cost,0.0004665500984554693,0.0019179831748232388,0.0005155024600379273,0.00042435290175592944
k_pi_war,0.0002261618085646193,0.0008676544968435854,0.00019591050643047954,0.00031857656761100615
