parameter,S1,S1_conf,ST,ST_conf
k_mob,0.3714178032130793,0.05963387861480835,0.50278330010799,0.051637799377397785
k_demob,0.2708160724151895,0.05443680235483398,0.42991802092080333,0.047094164112134074
k_rev,0.049393492996470834,0.02975157878065263,0.1110420409705897,0.020519797693184832
k_info,0.05991934176827361,0.026393973960418628,0.08713169425850319,0.01453397710653953
k_loss_p,0.04049373419411013,0.023213222005862476,0.07566727454653721,0.012808531621236378
k_san_oil,0.014573210929399016,0.018168367112053465,0.04216685167898764,0.011773754628776261
k_elite_cost,0.0140302753789995,0.01055659592148488,0.016077152126143957,0.001805624596641946
k_loss_l,-0.0017323932373636336,0.007499726465550856,0.009366010349683455,0.0038737210523288905
k_elite_protest,0.005548832225267346,0.008028141466265949,0.008924620354341226,0.0013598460761142816
k_pay,0.004213876064782208,0.008295650862664601,0.0074324660081644105,0.003932164048509328
k_info_emerg,0.006402244542421396,0.008022200097634337,0.007079130629836625,0.0022793639059374635
k_elite_recover,0.004347739282170504,0.007159736114593117,0.0062741019622836285,0.0007139939689729035
k_war_spend,-0.0026648378966455523,0.0071444255046231985,0.0051492840055222654,0.0022799351291636783
k_split,-0.002988996780768818,0.005024904167496895,0.0034187549064446177,0.0019744211946181277
k_rally_s,0.0037034363787397974,0.004342780000532469,0.002438369254970542,0.0005349854631776407
pi_base,-0.0006540222810672765,0.003978237494984343,0.001641860962988076,0.0009234638387837544
k_war_oil,0.002441236812711537,0.004384790707513852,0.001391464869752385,0.001198926165552016
k_cons,0.0010403940644688283,0.002618238412075796,0.0009044063643782544,0.000641878554571626
r0,0.001096661645206999,0.0016511729651388684,0.00028893200934991157,0.0002280816319369322
k_pi_san,0.0011597234884216676,0.0014225764932513302,0.0002450203752751501,0.00019338435346470927
k_pi_war,0.00037981796313195604,0.0009313297079811845,6.812833313308554e-05,9.680054804392233e-05
