parameter,S1,S1_conf,ST,ST_conf
k_mob,0.34391918183513637,0.062238152395713814,0.5131755656042201,0.05166371658168669
k_demob,0.24229404604797566,0.055335889358896724,0.4377586280723338,0.04616111486002572
k_info,0.09307567334919328,0.03352850117341452,0.14860342078839078,0.025687024777349275
k_loss_p,0.0659346825259613,0.030783265620665627,0.13133643814394774,0.022385481276852828
k_rev,0.03300958398946758,0.02960381244904734,0.11633429435603894,0.02305515113684228
k_san_oil,0.013231163669915643,0.019851265647481495,0.04610000616769651,0.012451354354553011
k_loss_l,-0.005524967523841211,0.008510536932502765,0.011241168708406149,0.004899357956447668
k_pay,0.0061117815212926975,0.010057994618370892,0.01082177559898297,0.005667737365549899
k_info_emerg,0.008298736750651384,0.009307175285001145,0.009360714021777067,0.0030968627360337944
k_war_spend,-0.0033008470960818295,0.007898464277365182,0.006163090268913607,0.0030028006555725983
k_split,-0.003831507325128041,0.006044305369308349,0.0048188415956794935,0.003038226418683456
k_rally_s,0.0045747488342091705,0.00520391532722405,0.003562267287863357,0.0007734353649399444
k_war_oil,0.003678091842926384,0.005099474472374895,0.001865148004325139,0.0016871273511095157
k_cons,0.0013240454253415615,0.003709252745059813,0.0016576892537759381,0.001012475228832026
pi_base,-0.001042045857903562,0.004124416316826593,0.0016151082724052848,0.0011373102268812418
k_elite_cost,0.0002248871358491351,0.0018458869213909576,0.00040545480982359883,0.00045696982846715213
k_elite_protest,-0.00016615588342365812,0.0018880707697133132,0.0003904616042473453,0.0005739883582401125
r0,0.0013372827426534565,0.0017365610746523255,0.000345706547680435,0.00039262283290185265
k_pi_san,0.0013121455939635429,0.001609772580202139,0.0003173900956471509,0.00033108043478183053
k_pi_war,0.0004479199116044094,0.0011078462684093176,0.00011368857596941306,0.00019998169407094173
k_elite_recover,-0.00031959848098681113,0.0006307174083910468,3.6922290892597373e-05,2.2622118208133994e-05
