parameter,S1,S1_conf,ST,ST_conf
k_mob,0.3754056434726996,0.04434722817321,0.5554810486101258,0.04121492466414173
k_demob,0.23152577569847707,0.0390990474694019,0.43310081679954265,0.03476684036973427
k_rev,0.08857046113515135,0.02426891766822846,0.16378387691412294,0.017605308578195297
k_info,0.02214473491757136,0.013942322447670463,0.04948087234694334,0.00549348007304104
k_elite_cost,0.03189651957401657,0.011270750515771253,0.03508645571080234,0.00262403533202666
k_san_oil,0.007730015061630094,0.009832740858844464,0.03020341110304123,0.0062427231626050305
k_rally_s,0.007989453330936026,0.008124227619308587,0.01630225066874589,0.002089141712049832
k_info_emerg,0.011033927711409968,0.007544475955508244,0.01576862032405353,0.0023329017628686984
k_loss_p,0.0029291512049220846,0.007409403564403413,0.014063717476641958,0.0038366831102241887
k_loss_l,0.005496708288222083,0.007262732374827163,0.012848257969712205,0.00461492603449428
k_elite_protest,0.004004934888965579,0.006132399233697239,0.00986440203551596,0.0011718140845800855
k_elite_recover,0.006241742587828099,0.005851907719864605,0.009309526776975415,0.0007203226918539078
k_pay,-0.00035045653591313567,0.005398378193583089,0.009294657206954304,0.004014582443880637
pi_base,-0.002164690585466069,0.004607520072304336,0.007360976703218584,0.002881766834697348
k_war_spend,0.0033598012803936613,0.0051081267262478944,0.005776528107478277,0.0012820378819187034
k_split,-0.0012326243382244984,0.004804956351493925,0.005472237210074534,0.0030911791338491734
k_pi_san,0.0008446034410904302,0.0021736744887403867,0.0012895194762872933,0.0008738039973367977
k_war_oil,-0.00022499287508485362,0.002379956065181166,0.001196430184611944,0.00042235352650924114
k_cons,0.00014773032777218726,0.00047349053848233334,0.00010697256409346206,6.825695967498476e-05
k_pi_war,0.00023783498174980827,0.0005350594905976604,7.408071214423079e-05,4.655022833277722e-05
r0,-5.133915056008353e-07,0.0003391237313135326,3.354083417658562e-05,1.4400149496526194e-05
