parameter,S1,S1_conf,ST,ST_conf
k_mob,0.3678224588897494,0.04643787680133998,0.6014721486626853,0.04224819717567138
k_demob,0.2277759489347075,0.04213797188555459,0.48239106107248764,0.037574114920855654
k_rev,0.06386100056538209,0.02545217609974063,0.18068551444205472,0.021252584983043558
k_info,0.027132073179805434,0.01710111264368868,0.07154332592657844,0.008473892189754223
k_rally_s,0.02346496681768865,0.013375289134021402,0.04593876737532925,0.005960623250350971
k_san_oil,0.0067481663140114495,0.01210911677356865,0.04148248832994138,0.009009249318866241
k_loss_p,0.007047870058291416,0.009856817984444413,0.02604374993515726,0.006417655397424041
k_info_emerg,0.015249789004406936,0.008421798448049245,0.02184942287029774,0.0037297380504056027
k_loss_l,0.0038547086030629213,0.008607218156773348,0.018212713383970222,0.006934162291283849
k_pay,0.0011389390115536834,0.007047648519179448,0.014368155065935312,0.006697388757937901
pi_base,-0.0035552938657635734,0.005736030316811799,0.010373879340418295,0.004777427411272418
k_split,-0.0007122880721793074,0.005684829611993563,0.008179929762228805,0.004927548192414946
k_war_spend,0.0030077276359132938,0.0053548123327336284,0.00767203798929478,0.0019010418714011672
k_pi_san,0.0012313121867930674,0.0027371291438643757,0.0018241288191772414,0.001284960321503933
k_war_oil,0.00040648569702928173,0.002439817612615973,0.001482205080381228,0.000555244916654325
k_elite_protest,0.000658855774223717,0.0012670777730070222,0.0003733368890023285,0.000729984638806388
k_cons,0.0003000996321917989,0.0008614069905742712,0.00027187866245830043,0.00016114163993894074
k_pi_war,0.0002622076091005683,0.0006452973371188391,9.458607202698083e-05,6.377240161500635e-05
k_elite_cost,-4.1306650533020085e-05,0.000517654760350579,8.17701711111765e-05,5.309467871872497e-05
r0,0.0001519882387440595,0.0003615882837717426,4.2808945716044255e-05,2.2533011884610964e-05
k_elite_recover,-2.4768146737722877e-06,0.00013238347243249893,4.290420229849481e-06,3.258746610149105e-06
