parameter,S1,S1_conf,ST,ST_conf
k_mob,0.409848130673258,0.06873638326196957,0.629655004056809,0.05817726684915333
k_demob,0.32908838543420954,0.06479930827654783,0.5285927474117206,0.054494899794885074
k_rev,0.01315444638495345,0.02179147019499929,0.054135166861371535,0.01225352317058275
k_san_oil,-0.00234120910508462,0.012304769731063054,0.019606133589798146,0.006750938540389209
k_loss_l,0.0030961991790141867,0.007178481540055736,0.008325688726466609,0.004774063805643552
k_war_spend,-0.0019537808765920047,0.005294576510593711,0.003797256278925433,0.0018984527830572704
k_info_emerg,-0.0005767807344088682,0.0037924869793378654,0.0021731048670040583,0.002237309881801971
k_split,0.001629707189576774,0.0036851154736006544,0.0019662712370880926,0.0013118467741809168
k_pay,0.0013262454845535418,0.0030956325085100007,0.0009805630655862175,0.00050830527117997
k_info,0.0006659074576899009,0.002500000087729386,0.0008156459116041844,0.0002625113581008893
k_loss_p,0.0007438080689280151,0.0019771723270976434,0.0006384423866095136,0.00029415401917315084
pi_base,-0.00025965628008984334,0.001631906572027664,0.0004554616916101816,0.0003073157873402584
k_war_oil,-0.00015872260919614882,0.001443138281356225,0.0003264044955385278,0.00019886815333916002
r0,0.0004761644534147725,0.0010591653076300995,0.00016509901563704113,0.00014500771040480543
k_elite_cost,-0.0003674312896616097,0.001055489613208701,0.00014867440627506001,0.00016731292571123697
k_rally_s,0.0007724481647176172,0.0009856677525210305,8.720032208277277e-05,8.784859767448636e-05
k_pi_san,0.00033538424219420077,0.0005654447851971108,5.92399212854379e-05,5.5969496231727414e-05
k_elite_recover,-0.0003234722893233805,0.0005653512582932324,5.651540679420665e-05,9.092375533565956e-05
k_pi_war,0.00016619485047802716,0.000405743123046291,3.0525949742216583e-05,5.2339110828244234e-05
k_elite_protest,-0.0001571622509683606,0.00047209563891830114,2.029401061078651e-05,1.7294040369271044e-05
k_cons,-4.965002355523954e-05,0.00011286198532995007,1.1898924811669233e-06,1.1308728159405507e-06
