parameter,S1,S1_conf,ST,ST_conf
k_mob,0.4067046155916861,0.06565316401566082,0.6498822372789517,0.05651914909140727
k_demob,0.2487855617876509,0.06173029529430841,0.5344493897073,0.05291444227688325
k_rev,0.01614343205048509,0.031359480439907904,0.13009208849642442,0.025708589017394656
k_info,0.005212113151381969,0.01956064214980325,0.04896913103484148,0.013694296792562396
k_loss_p,-0.0021561440519726307,0.019381813911006598,0.04146079111612354,0.013494000789002319
k_san_oil,0.0028240546405884615,0.017584208548177285,0.041190385067987376,0.015190658735012465
k_elite_cost,0.00040956460727452267,0.015651186203076515,0.03281579872091054,0.012222711167167548
k_loss_l,-0.0026213666917138563,0.014851638980534515,0.02830984769535659,0.012628212638503233
pi_base,-0.006185367186421934,0.014360842603259398,0.023609909722226697,0.010929148358347816
k_elite_protest,0.011859667216972446,0.013565431153646562,0.02228106647359622,0.011128558792877238
k_war_spend,-0.0029880815548670617,0.012298371038674694,0.018758113280034832,0.009312711296450888
k_elite_recover,-0.0015138719486845272,0.012589501331410013,0.017011414308469305,0.008986143598087777
k_pay,-0.0045414815655217934,0.01062407268214567,0.01618239769833206,0.008258165103624699
k_info_emerg,0.003925344746703608,0.008667983684110338,0.013122204613718668,0.0063708548370447335
k_split,0.0014443299415306148,0.007525449157567353,0.009107262638131766,0.005959503864557589
k_war_oil,-0.004177995480806057,0.006637671004798348,0.007210174795591964,0.005401165113658042
k_rally_s,0.004395104803819542,0.008162697239542386,0.006035965923522441,0.005310727465961288
k_pi_san,-0.0007620471761454573,0.003793408613110998,0.00253456683524727,0.002715906593401977
r0,-0.0018652018459273494,0.002795870418524306,0.0014558818388780222,0.0026657310176453858
k_pi_war,-0.00016178302613564124,0.0023816243918703887,0.0006296411362397548,0.0008070421321561381
k_cons,-8.471038261545383e-05,0.00041691096314921337,2.3676858079555095e-05,1.5524713862272215e-05
