parameter,S1,S1_conf,ST,ST_conf
k_mob,0.30503589918909835,0.06044475197858237,0.5077602587018591,0.05559706873310717
k_demob,0.2109235790361996,0.055562946031048215,0.4456916272093998,0.052596053160821124
k_loss_p,0.08210575718503192,0.03717694857162645,0.18846465568274048,0.0326511016495958
k_info,0.08004232534434248,0.035997535971045075,0.16768708218581266,0.03067694905933486
k_rev,0.0367178170307987,0.031176298126158863,0.1282915201176457,0.02636999578579181
k_san_oil,0.03154784560962167,0.020144477026719985,0.04089978327831775,0.01302351245216906
k_elite_protest,0.008450961144454431,0.012174696979438432,0.02039430147663288,0.007474114265761204
k_elite_cost,0.0006283305369997637,0.010244725468990459,0.0165552934403902,0.010607063337472671
k_loss_l,-0.0012950859506380323,0.007464940235265769,0.012192966187771671,0.006495197303734549
k_pay,0.009068089391128539,0.010441876639414338,0.010964552210719033,0.006581296057083307
k_war_spend,-0.0042542791457832844,0.007656944804331552,0.007335900779201976,0.004734226666879882
k_info_emerg,0.00392364540036737,0.008036528547484253,0.0068928943426194746,0.0026618169692402206
k_split,0.004461040449213945,0.005585323645935584,0.0053578055872100456,0.0037637234923041897
pi_base,0.0023407233666980156,0.005296549022177699,0.00522604689865228,0.005240197762542778
k_elite_recover,-0.0007153264211039259,0.007195258340849467,0.004992253824378419,0.0036237974547194273
k_cons,0.001320168986338894,0.0053299022300455886,0.003558913644080843,0.002386918060322816
k_war_oil,0.0027739467606530564,0.006539752124096101,0.002468260378275149,0.00198088851539103
k_rally_s,-5.132615761620667e-05,0.004615760849163242,0.0022324666297715593,0.0008312765999483747
k_pi_san,-0.0006344583784875543,0.00463393788004973,0.001910929699993938,0.002292430500869567
r0,0.001584187842624337,0.0028803328863247738,0.0007216717757231069,0.0012605085878572625
k_pi_war,0.0007991535840065531,0.002335187154178772,0.0004518665653141513,0.000818033246789246
