parameter,S1,S1_conf,ST,ST_conf
k_mob,0.33285642867789095,0.06097748934007009,0.5439887918103771,0.05445624960624342
k_demob,0.237588517121623,0.06004204602254963,0.47127015547815976,0.052082641945540444
k_info,0.07817333254912577,0.03705787513556285,0.18859027036488132,0.03262360347010085
k_loss_p,0.06760312759311471,0.036662754037114845,0.17598999939042975,0.03174576222688362
k_rev,0.013103203371593344,0.02789045462972362,0.09848991540991893,0.022993783893089956
k_san_oil,0.00766900084500418,0.021136875694605234,0.06180776299263086,0.0195131648060599
k_loss_l,-0.0024316733938567103,0.011668328982818046,0.018913386699616973,0.011306010079877079
k_info_emerg,0.008537645754413533,0.01149368489935423,0.012033467251089384,0.006927023365231387
k_war_spend,-0.00458034670055074,0.011814983967851208,0.011914875077186743,0.0077933077997835234
k_war_oil,0.001465967413166496,0.011292953797070446,0.011045002464962242,0.008703071393070928
k_rally_s,0.006898150478767446,0.00911167359305124,0.010293918696912192,0.008072743949945305
k_pay,0.00410357086502707,0.010295676682110708,0.009630746540362112,0.0066311626511856075
pi_base,-0.0010326013461529257,0.007024501827178915,0.0063852937149203905,0.006011504558638575
k_split,-0.002178005952913988,0.006749291800570594,0.006085764890950705,0.006404960554001158
k_cons,0.003129291774002321,0.006529766360433864,0.004091528334776967,0.005022005840932531
k_pi_san,0.0032744158297521968,0.004369636337259461,0.0029288136878243896,0.004513364500522951
r0,0.0027042544658672004,0.0037021828977738857,0.002163963000747499,0.004217743034161988
k_elite_cost,0.0005046951646790807,0.000730072504326101,6.647455187245794e-05,8.6120549875987e-05
k_pi_war,0.0003606893537822714,0.0006014516627630839,4.543083278857332e-05,4.5072326031432e-05
k_elite_recover,-0.00019326655339519438,0.00042002673419383696,1.101353522147232e-05,1.8366643366470965e-05
k_elite_protest,-8.273001119495222e-05,0.00026930013206704945,9.046832503352275e-06,8.088632866227336e-06
