parameter,S1,S1_conf,ST,ST_conf
k_rev,0.5874174394269798,0.08277603036846719,0.7716268729334744,0.06946764977935249
k_san_oil,0.061491576253513605,0.03835133532610377,0.1733920316673657,0.030057920769604854
k_mob,0.03757780722713495,0.028344705966159303,0.10586269052495063,0.021856234894924605
k_loss_l,0.04260359967962344,0.029361048841130513,0.09009072634667732,0.020096906337256658
k_demob,0.011141312708731,0.024915636816022966,0.08970362397380287,0.02017809720780497
k_pay,0.013473806691608673,0.019178787079795968,0.04550064190644032,0.0123291692376425
k_war_spend,0.009476901734808014,0.014933842034997423,0.03129039667783849,0.008411939123197517
k_split,-0.0011369246863435632,0.013343302237712752,0.027650838093163852,0.008597650466742497
k_war_oil,-0.002056332462080595,0.005863439966657598,0.004541862139047299,0.0012889430681943476
k_info_emerg,-0.0001724403593124602,0.0028688992022367975,0.0021702175691898037,0.0027687448169171716
pi_base,0.002181249673704416,0.0031895179232106236,0.0014922670239903514,0.0004726016235325379
k_info,0.0007464120207284946,0.0025850373785802597,0.0014512401640878834,0.0010444871316562315
k_loss_p,0.0011159432544981778,0.002263685285849304,0.0009867977878900132,0.0006161395603974863
k_elite_cost,-0.00034050476729019844,0.001353865621747221,0.0005414529545600949,0.0006601830005779102
r0,0.0005418983109727102,0.0010435820160825634,0.0003050204505618227,0.0005610784088014749
k_pi_san,0.0009482281418483682,0.001349753053196935,0.00027448633702859644,0.0001347846204912533
k_elite_recover,-0.0005808382775043525,0.0007520622513644956,0.00013915363884245811,0.00018206299897461454
k_elite_protest,4.366635025495245e-05,0.0005712338760462478,7.355910344670181e-05,5.762163532307585e-05
k_pi_war,0.00025890599348353267,0.0005571338889222894,6.481459933813204e-05,9.521960948251883e-05
k_rally_s,0.00017498094104829537,0.0004957087465659844,3.999824824938479e-05,3.0110599225956518e-05
k_cons,1.3721585196751747e-05,8.23795354381872e-05,1.8312144828437204e-06,2.053814393487776e-06
