parameter,S1,S1_conf,ST,ST_conf
k_mob,0.2570762616050555,0.06399115578672968,0.5911834926776897,0.056482092921771
k_demob,0.1745441833821568,0.061620083192620086,0.5437306370781426,0.055775172408916
k_loss_p,0.04659185921030024,0.044071286765877425,0.22935546873114385,0.039286952182206285
k_info,0.06984782837460779,0.04185530714279808,0.22342386178120047,0.03881287173445674
k_rev,0.025528341459952177,0.04086506227997683,0.20167463629807475,0.037223046078998276
k_san_oil,0.012724210289133514,0.03071591391845633,0.11467773436557192,0.02894286287299822
k_elite_protest,-0.00043049819462338156,0.016466974690530756,0.03558964169966025,0.01656920645899496
k_elite_cost,0.00043049819462338156,0.015990694761224493,0.03558964169966025,0.016946034013605008
k_loss_l,-0.0017619532193361006,0.015377803933084843,0.029658034749716875,0.014952270932093463
k_war_spend,0.0004304981946233807,0.01332257327301258,0.0237264277997735,0.01358566079132242
pi_base,-0.0052458992171657256,0.014165093884918144,0.0237264277997735,0.014434628873921908
k_pay,0.002192451413959483,0.013983326841068611,0.02174922548312571,0.012656696186441581
k_info_emerg,0.006146856047255067,0.01340697553441388,0.02174922548312571,0.012446071934344513
k_elite_recover,-0.002622949608582863,0.012348913579346485,0.017794820849830122,0.011376413233558714
k_split,0.004815401022542345,0.009811315155035347,0.01186321389988675,0.009697604170685692
k_war_oil,0.00043049819462338113,0.009949460410069721,0.01186321389988675,0.009320118756576979
k_pi_san,0.0039544046332955825,0.010453697371262817,0.01186321389988675,0.009476748512815023
k_rally_s,0.0021924514139594824,0.009929396338239159,0.009886011583238959,0.00826797080413487
k_cons,0.003954404633295583,0.00529191143509685,0.0039544046332955825,0.005280310198354346
r0,0.004384902827918965,0.006116359877333655,0.0039544046332955825,0.005515871796253723
k_pi_war,0.0021924514139594824,0.0041848455257172705,0.0019772023166477913,0.0037739884293801944
