parameter,S1,S1_conf,ST,ST_conf
k_mob,0.4183475505270768,0.06302524251124363,0.5906604287130768,0.05426182596158474
k_demob,0.33808735231883186,0.059758733949926604,0.5335353815279312,0.05596613219516659
k_rev,0.029119704839787305,0.030919850369974064,0.11081277969558953,0.021668461833717838
k_san_oil,0.0005903362015637098,0.021476103520148466,0.05694454546540833,0.01791719457619346
k_loss_l,0.000358706359162118,0.010680744200466488,0.015619965996531582,0.007946944725059513
k_info,0.0058956011253668734,0.010157566929082177,0.014031917736851978,0.007750985240384962
k_pay,7.558238017695747e-05,0.009639016423465218,0.011559493051708922,0.005392575706354131
k_loss_p,0.002361851582768192,0.008173429609852366,0.01092524930489578,0.006994281304434458
k_war_spend,-0.0006187093086201645,0.008502238068521484,0.009032321911577736,0.004320704018586515
k_split,-0.0006965444237425863,0.008958891178063822,0.009031736362282886,0.0061005148992445205
pi_base,0.0024224537137884053,0.0041090958572301784,0.003461395850559787,0.0023340779021136385
k_war_oil,0.00024264951615475126,0.004196239899008575,0.002738325490026639,0.002434612634544072
k_info_emerg,0.0020343928844293504,0.004427060646919684,0.002578434104507892,0.0020738247955126125
r0,-0.00016445258694232421,0.0036381568114497056,0.0024631452767844573,0.0016035230045296051
k_cons,0.0009924078508730776,0.003247816516716479,0.0016374309501267484,0.0023177510753477344
k_pi_san,0.00178087816731624,0.0022983611965755085,0.0007338859970508334,0.0005847352082763295
k_elite_recover,0.00017410977816594537,0.0017419297628227534,0.0006576065327599413,0.0006609443665734975
k_elite_protest,0.0017029148488651284,0.0021856448523291856,0.0006367801810081162,0.0004921586591311815
k_rally_s,0.001219854290089637,0.0016805892787045626,0.0005366107580768361,0.0005525806795011542
k_elite_cost,0.0004665500984554693,0.0018295806278815405,0.0005155024600379273,0.0004449466645369251
k_pi_war,0.0002261618085646193,0.0008354019422923466,0.00019591050643047954,0.0003128193583005065
