parameter,S1,S1_conf,ST,ST_conf
k_mob,0.3714178032130793,0.05886779811108067,0.50278330010799,0.04968151349624091
k_demob,0.2708160724151895,0.054750520682480465,0.42991802092080333,0.04535258730435746
k_rev,0.049393492996470834,0.028029103250965567,0.1110420409705897,0.02025500513399074
k_info,0.05991934176827361,0.024691281994539044,0.08713169425850319,0.014840164547056124
k_loss_p,0.04049373419411013,0.024158041819269695,0.07566727454653721,0.012764559936035454
k_san_oil,0.014573210929399016,0.01770644576445297,0.04216685167898764,0.011555842377021062
k_elite_cost,0.0140302753789995,0.011117633344886973,0.016077152126143957,0.0017960953703313309
k_loss_l,-0.0017323932373636336,0.00724653851471691,0.009366010349683455,0.003955685799458492
k_elite_protest,0.005548832225267346,0.008573734651442549,0.008924620354341226,0.0012702719056270355
k_pay,0.004213876064782208,0.008174030731429492,0.0074324660081644105,0.0040842607886888965
k_info_emerg,0.006402244542421396,0.008278605819562301,0.007079130629836625,0.002345440624113837
k_elite_recover,0.004347739282170504,0.006948566265935548,0.0062741019622836285,0.0007261786745912078
k_war_spend,-0.0026648378966455523,0.0066955418403551025,0.0051492840055222654,0.0022912880736550823
k_split,-0.002988996780768818,0.004801225724652204,0.0034187549064446177,0.0020064825335367065
k_rally_s,0.0037034363787397974,0.004342887380447396,0.002438369254970542,0.0005370866933020142
pi_base,-0.0006540222810672765,0.003925014833203136,0.001641860962988076,0.0009253360802773483
k_war_oil,0.002441236812711537,0.00400732033401119,0.001391464869752385,0.0011650213021331146
k_cons,0.0010403940644688283,0.002465922929252004,0.0009044063643782544,0.000609592448380707
r0,0.001096661645206999,0.0016201415159441779,0.00028893200934991157,0.00023166048368177347
k_pi_san,0.0011597234884216676,0.0015055935321143829,0.0002450203752751501,0.00019900397455880036
k_pi_war,0.00037981796313195604,0.0009253079998763013,6.812833313308554e-05,9.624110693392057e-05
