parameter,S1,S1_conf,ST,ST_conf
k_mob,0.34391918183513637,0.061006620379779795,0.5131755656042201,0.05319324590705034
k_demob,0.24229404604797566,0.05540238036798367,0.4377586280723338,0.047019121899404825
k_info,0.09307567334919328,0.03390364503858855,0.14860342078839078,0.025978834877495943
k_loss_p,0.0659346825259613,0.03125927047894188,0.13133643814394774,0.022537623819298042
k_rev,0.03300958398946758,0.029648034799599383,0.11633429435603894,0.023333147180262956
k_san_oil,0.013231163669915643,0.019669824214337082,0.04610000616769651,0.013432043192412984
k_loss_l,-0.005524967523841211,0.008214587415656685,0.011241168708406149,0.004947296085681535
k_pay,0.0061117815212926975,0.010112674192845743,0.01082177559898297,0.005784882903629439
k_info_emerg,0.008298736750651384,0.00974709840970075,0.009360714021777067,0.0030570997282520986
k_war_spend,-0.0033008470960818295,0.007488075783247484,0.006163090268913607,0.002959405070007484
k_split,-0.003831507325128041,0.006005025717904523,0.0048188415956794935,0.0030113570327643694
k_rally_s,0.0045747488342091705,0.005322026103883159,0.003562267287863357,0.0007731782126175003
k_war_oil,0.003678091842926384,0.00516372608180839,0.001865148004325139,0.0017296410423155357
k_cons,0.0013240454253415615,0.0037739979662188847,0.0016576892537759381,0.0010278390459845638
pi_base,-0.001042045857903562,0.0041015550343627945,0.0016151082724052848,0.0010441904084998288
k_elite_cost,0.0002248871358491351,0.00174857207887625,0.00040545480982359883,0.00042403243708895544
k_elite_protest,-0.00016615588342365812,0.0017792970754002492,0.0003904616042473453,0.0005469710029800866
r0,0.0013372827426534565,0.0016317571754754514,0.000345706547680435,0.0003654046861993351
k_pi_san,0.0013121455939635429,0.001546279217896734,0.0003173900956471509,0.00030714691792697396
k_pi_war,0.0004479199116044094,0.0010624760189570483,0.00011368857596941306,0.00018935525301821328
k_elite_recover,-0.00031959848098681113,0.0006444149227483161,3.6922290892597373e-05,2.3599665324293504e-05
