parameter,S1,S1_conf,ST,ST_conf
k_mob,0.3340375360960269,0.063688046221238,0.5759497437316582,0.05784775510448238
k_demob,0.2347744953970121,0.05945038772982352,0.4902564634262857,0.05103592333239785
k_rev,0.039560855574239176,0.03201483110332639,0.1320058468396198,0.025047674363900572
k_info,0.051884946950395736,0.025917366165663498,0.0957490805326004,0.01743534510389661
k_loss_p,0.029522062392470065,0.025589903789710065,0.09309856445384203,0.01806321479286042
k_san_oil,0.004135880873692149,0.021311006750624806,0.061222386939503846,0.016997095985686328
k_loss_l,-0.003128683307439062,0.008317346331280994,0.011654600874115385,0.005814094809706279
k_war_spend,-0.0028506605276028565,0.008174889088727046,0.009238932866549551,0.0048729357762265875
k_elite_cost,0.007245777023083639,0.008123996724840052,0.008181481152387583,0.00105510707668209
k_elite_protest,0.0040685059354999935,0.006760592003199707,0.0062066468620909825,0.0010006851452114798
k_info_emerg,0.0010648773110983954,0.006700514234213412,0.0059931940430034344,0.003449814571661055
k_pay,0.0012623293829931782,0.005976908268522058,0.004830395238483988,0.002772793394616161
k_split,-0.0054597966465956,0.0055049855872427835,0.004289988372483463,0.0025909439680547835
k_elite_recover,0.0026914953473309283,0.0056661363317213045,0.004012899597904957,0.00045413183576850993
pi_base,-0.0011770704980998965,0.004295565858549163,0.0022496801991540153,0.0016140272824096775
k_rally_s,0.0017357037266821172,0.004111216581592548,0.0021729245294321853,0.0005385327113910005
k_war_oil,0.0006671340481287466,0.003990260318469395,0.0019758243661056507,0.0015047530030316868
r0,0.0012285573336719535,0.0017191609587478363,0.000353401710277537,0.0003549736381951299
k_pi_san,0.001053526474759534,0.001605280800700606,0.0002899410530934697,0.000249292956010073
k_cons,0.00025896234144185434,0.0011710542590550085,0.0001749266679472012,0.00015268767847796094
k_pi_war,0.00034832904484269323,0.0010710240968310166,0.00011191828850480462,0.00018622011451563817
