parameter,S1,S1_conf,ST,ST_conf
k_mob,0.28745673884353284,0.06473184859140577,0.595273183099025,0.05592347713439785
k_demob,0.19789329029521566,0.06027751524013287,0.5151138174157188,0.05266902197391542
k_rev,0.02827225883679439,0.0350405460606004,0.17084189365039562,0.031806052648865726
k_loss_p,0.03726474915165302,0.035643669323610384,0.17021074795665453,0.03271777053718827
k_info,0.06927266349711533,0.03661671624183315,0.16238169070309513,0.030514996836768286
k_san_oil,0.0001263023012559365,0.024999282390931892,0.09039088275773051,0.022740426026933838
k_loss_l,-0.006015614405376226,0.010180275038847667,0.018810114602183233,0.009591995763656859
k_war_spend,-0.0038601814191195766,0.01076941158062451,0.015656206690725736,0.008477691639714579
k_pay,0.002182022146910905,0.009549367248672353,0.011381537709319163,0.007511818340372605
k_split,-0.006023624555628993,0.007173614576358762,0.009481434689009714,0.0059555600970937
k_info_emerg,0.0005486593167757488,0.007894002253805066,0.0077294804249752845,0.004621792172181051
k_war_oil,0.0010203907977280697,0.0057872527578526544,0.004320842387071227,0.003703441032357342
pi_base,-0.0012652421411446224,0.005495956820791844,0.004285208435566509,0.0029512735227141523
k_rally_s,0.0035875524487594826,0.00465407474465567,0.0029271080717748134,0.0008752969704450553
r0,0.0016691302098525494,0.002228613845835862,0.0008710797338131461,0.0009260729805987126
k_elite_protest,0.00024923301545818607,0.0024130478170947293,0.0006542591754105802,0.0008853684539498635
k_pi_san,0.0009021895367131795,0.0022586446510834595,0.0006085175132747934,0.0005267369275241859
k_cons,0.0009388544404124186,0.001889353889261626,0.0004659972186703326,0.0004131659418086801
k_elite_cost,0.0009528608153889964,0.0018568927614779998,0.0004181622364055434,0.0005028077486576946
k_pi_war,0.0003805665005680467,0.0013362075465408458,0.00020222954405799527,0.00033667770477742345
k_elite_recover,0.0002633102271844328,0.0004610469792312876,3.539376943703077e-05,3.7580615481664904e-05
