parameter,S1,S1_conf,ST,ST_conf
k_mob,0.409848130673258,0.06747107812828218,0.629655004056809,0.060489924298342046
k_demob,0.32908838543420954,0.06360926950945428,0.5285927474117206,0.05289802260426498
k_rev,0.01315444638495345,0.020303850798414524,0.054135166861371535,0.012287384838272046
k_san_oil,-0.00234120910508462,0.012345189135188357,0.019606133589798146,0.006718867327494015
k_loss_l,0.0030961991790141867,0.0068073292759491515,0.008325688726466609,0.004707672973054875
k_war_spend,-0.0019537808765920047,0.005284846500933152,0.003797256278925433,0.0019240600761115533
k_info_emerg,-0.0005767807344088682,0.0038664816683149335,0.0021731048670040583,0.002238442449994022
k_split,0.001629707189576774,0.0037002927399715866,0.0019662712370880926,0.001281823396178814
k_pay,0.0013262454845535418,0.003014360972658048,0.0009805630655862175,0.0005507183807475149
k_info,0.0006659074576899009,0.002560284042476943,0.0008156459116041844,0.00026195772487365573
k_loss_p,0.0007438080689280151,0.0019258454761297158,0.0006384423866095136,0.0002893772188123216
pi_base,-0.00025965628008984334,0.0015999448762970296,0.0004554616916101816,0.00030486280687235103
k_war_oil,-0.00015872260919614882,0.0014646860432245346,0.0003264044955385278,0.0001972736457267251
r0,0.0004761644534147725,0.0010085319554302655,0.00016509901563704113,0.0001408471537010029
k_elite_cost,-0.0003674312896616097,0.0010346516557732629,0.00014867440627506001,0.0001643606304213307
k_rally_s,0.0007724481647176172,0.0009773693849469555,8.720032208277277e-05,8.770003057253671e-05
k_pi_san,0.00033538424219420077,0.000557404994108197,5.92399212854379e-05,5.6714527798370194e-05
k_elite_recover,-0.0003234722893233805,0.000564569953289754,5.651540679420665e-05,8.906722660546102e-05
k_pi_war,0.00016619485047802716,0.0003997502434949389,3.0525949742216583e-05,5.2370401430836124e-05
k_elite_protest,-0.0001571622509683606,0.00047310954650875816,2.029401061078651e-05,1.7384427766165214e-05
k_cons,-4.965002355523954e-05,0.00010557878608400389,1.1898924811669233e-06,1.126975458714184e-06
