parameter,S1,S1_conf,ST,ST_conf
k_mob,0.31540944227914974,0.06151803095469564,0.5192013711964095,0.057207745586664444
k_demob,0.22060405553254217,0.05762857468934303,0.4667116621328225,0.053735690238909936
k_loss_p,0.08090131243354193,0.037468832622129467,0.1926962545344733,0.034005965553985835
k_info,0.08714348146657261,0.0375379840068108,0.18437026526464922,0.03334517668342591
k_rev,0.024475429429622622,0.03013564827470474,0.11408440623073632,0.0259689915512475
k_san_oil,0.02917006056569747,0.02089265325869146,0.0495713015660612,0.016501178160717882
k_elite_cost,-0.0017011983156363642,0.011288023972291781,0.020661038464007124,0.011822762737187097
k_elite_protest,0.006796582823099535,0.011746435576555298,0.020576435190252786,0.009446230822707635
k_loss_l,-0.00038989660068172467,0.0072429761311811345,0.012646702787278127,0.007514862122519819
k_pay,0.00751333535125541,0.01167163777001779,0.012507499317682325,0.00851378428811585
k_war_spend,-0.0042656893742581995,0.009934642139194007,0.008205976958172536,0.005786042089792523
pi_base,0.0003561869329161591,0.005575802656662616,0.00773160396954996,0.006980683141530287
k_info_emerg,0.006637496842320979,0.00974856753885042,0.007639972947816025,0.003452882597096242
k_elite_recover,-0.002419637084639247,0.0051658225128082165,0.004646422606508313,0.004520525369647399
k_war_oil,0.00011327753952637931,0.008318400918875089,0.004295575803527057,0.004717866886677456
k_cons,0.0013347739837197038,0.0035166443142215903,0.0036817290473094683,0.005375325589330822
k_split,0.003331190736609924,0.004554690615746715,0.0034760322699067436,0.0033904752933512617
k_rally_s,0.00023368634639176568,0.004081569472298153,0.003374129924202634,0.0028173882766756265
k_pi_san,-0.00032133827675749486,0.004863862755979655,0.0025021485787345816,0.002743958218064464
r0,0.0022025465212454918,0.0030600378380391657,0.0013225681101596963,0.0017695675118035534
k_pi_war,0.0007709442930701948,0.002217488048398421,0.00044409961271048043,0.000781444250146734
