parameter,S1,S1_conf,ST,ST_conf
k_mob,0.30503589918909835,0.06086114090537803,0.5077602587018591,0.054478996543972834
k_demob,0.2109235790361996,0.055594340674594275,0.4456916272093998,0.050552405763308814
k_loss_p,0.08210575718503192,0.03754416482759585,0.18846465568274048,0.03178002078139201
k_info,0.08004232534434248,0.03674186978046566,0.16768708218581266,0.02989230350859839
k_rev,0.0367178170307987,0.03169387093397315,0.1282915201176457,0.026453343164824325
k_san_oil,0.03154784560962167,0.019075892016932123,0.04089978327831775,0.012668968336777758
k_elite_protest,0.008450961144454431,0.011230471734357945,0.02039430147663288,0.007788322721898128
k_elite_cost,0.0006283305369997637,0.010087268579714488,0.0165552934403902,0.010711574193803263
k_loss_l,-0.0012950859506380323,0.00735302275174061,0.012192966187771671,0.006484991900071219
k_pay,0.009068089391128539,0.01045078785709633,0.010964552210719033,0.006684694981050954
k_war_spend,-0.0042542791457832844,0.0075185475157055785,0.007335900779201976,0.004822862758214981
k_info_emerg,0.00392364540036737,0.007864049928749145,0.0068928943426194746,0.0025433649813854965
k_split,0.004461040449213945,0.0053293433740921915,0.0053578055872100456,0.0038561650905093846
pi_base,0.0023407233666980156,0.00512767706898208,0.00522604689865228,0.005063705757195021
k_elite_recover,-0.0007153264211039259,0.007389310021362247,0.004992253824378419,0.003449412421556122
k_cons,0.001320168986338894,0.0056280576565817505,0.003558913644080843,0.0024557098263305295
k_war_oil,0.0027739467606530564,0.006409978211280915,0.002468260378275149,0.0020020141586181302
k_rally_s,-5.132615761620667e-05,0.0042514717640351396,0.0022324666297715593,0.0008049861250744605
k_pi_san,-0.0006344583784875543,0.004740468990393555,0.001910929699993938,0.0021598032351425656
r0,0.001584187842624337,0.002749591900443642,0.0007216717757231069,0.001180612747046296
k_pi_war,0.0007991535840065531,0.0022228110019417158,0.0004518665653141513,0.0007546678057220946
